citadel
,Xeltan,8,1,Elcor Diplomat
,Calyn,8,1,Elcor Ambassador
,Conrad Verner,1,1,Commander Shepard's Biggest Fan
,Rita,1,2,Waitress
,Jenna,1,2,Waitress|C-Sec Informant
,Doran,7,1,Flux Owner
,Chellick,3,1,C-Sec Detective
,Jax,6,1,Krogan Arms Dealer
,Septimus Oraka,3,1,Turian General
,Din Korlack,7,1,Volus Ambassador
,Morlan,4,1,Salarian Merchant
,Chorban,4,1,Salarian Scientist
,Jahleed,7,1,Volus Scientist
,Schells,4,1,Salarian Inventor
,Samesh Bhatia,1,1,Widower
,Nirali Bhatia,1,2,Alliance Marine
,Ka'hairal Balak,11,1,Batarian Terrorist Captain
,Vidinos,3,1,Guard Captain
,Hannah Shepard,1,2,Alliance Officer
,Ernesto Zabaleta,1,1,Former Alliance Lieutenant
,Finch,1,1,Tenth Street Reds Gangster
,Girard,1,1,Alliance Lieutenant
,Talitha,1,2,Former Slave
,Doctor Saleon,4,1,Salarian Geneticist
,Tonn Actus,3,1,Turian Pirate
,Garoth,1,1,Council Petitioner
,Rebekah Petrovsky,1,2,Citizen
,Michael Petrovsky,1,1,Citizen
,Jacob Petrovsky,1,1,Citizen
,Boris Mikhailovich,1,1,Alliance Admiral
,Khalisah al-Jilani,1,2,News Reporter
,Charles Saracino,1,1,Terra Firma Politician
,Keeler,1,1,Alliance Diplomat

feros
,Fai Dan,1,1,Zhu's Hope Colonist
,Arcelia Silva Martinez,1,2,Zhu's Hope Colonist
,Hollis Blake,1,1,Zhu's Hope Colonist
,Calantha Blake,1,2,Zhu's Hope Colonist
,Davin Reynolds,1,1,Zhu's Hope Colonist
,Greta Reynolds,1,2,Zhu's Hope Colonist
,May O'Connell,1,2,Zhu's Hope Colonist
,Macha Doyle,1,2,Zhu's Hope Colonist
,Inoste Ledra,4,1,Salarian Merchant
,Ethan Jeong,1,1,ExoGeni Representative
,Gavin Hossle,1,1,Freelance Scientist
,Juliana Baynham,1,2,ExoGeni Scientist
,Elizabeth Baynham,1,2,Research Assistant
,Mallene Calis,2,3,Armali Council Representative
,Rafael Vargas,1,1,Binary Helix Representative
,Thorian,21,3,Sentient Plant

novaria
,Opold,9,3,Hanar Merchant
,Inamorda,6,1,Krogan Bounty Hunter

virmire
,Kirrahe,4,1,STG Officer

bring down the sky
,Kate Bowman,1,2,Alliance Engineer
,Tadius Ahern,1,1,Alliance Admiral

pinnacle station
,Alud Ochren,4,1,Pinnacle Station Tech Officer

main enemies
,Saren Arterius,3,1,Rogue Spectre
,Matriarch Benezia,2,3,Asari Matriarch
,Soverign,18,3,Reaper Vanguard

mass effect 2
,Kasumi Goto,1,2,Master Thief
,Grunt,6,1,Krogan Berserker
,Thane Krios,10,1,Drell Assassin
,Jack,1,2,Subject Zero
,Miranda Lawson,1,2,Cerberus Officer
,Legion,14,3,Geth Infiltrator
,Zaeed Massani,1,1,Mercenary
,Samara,2,3,Asari Justicar
,Morinth,2,3,Ardat-Yakshi
,Mordin Solus,4,1,Salarian Scientist
,Jacob Taylor,1,1,Cerberus Operative
,EDI,19,3,Cerberus Artificial Intelligence
,Kelly Chambers,1,2,Cerberus Yeoman

mass effect 3
,Javik,16,1,Vengeful Ancient
,James Vega,1,1,Arms Master
,Steve Cortez,1,1,Alliance Pilot
